amount,destination_transactions_last_24h,destination_transactions_last_7d,destination_avg_previous_amount,destination_amount_deviation,destination_is_first_transaction,origin_balance_error,destination_balance_error,destination_balance_is_zero,total_transactions,total_transaction_amount,avg_transaction_amount,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,actual_fraud
10000000.0,0.0,0.0,0.0,10000000.0,1,0.0,10000000.0,1,28,147237648.39,5258487.4425,False,False,False,False,True,1
240427.17,0.0,1.0,32444.310000000027,207982.86,0,0.0,0.0,0,14,6965470.32,497533.5942857143,False,True,False,False,False,1
127156.49,0.0,0.0,0.0,127156.49,1,0.0,0.0,0,40218,6596385476.64,164015.75107265403,False,True,False,False,False,1
164382.72,0.0,8.0,194810.72583333333,-30428.00583333333,0,0.0,-0.010000000009313226,0,10,4839777.76,483977.77599999995,False,True,False,False,False,1
4294676.05,0.0,0.0,0.0,4294676.05,1,0.0,4294676.05,1,28853,5407533849.39,187416.6932169965,False,False,False,False,True,1
310726.29,0.0,0.0,0.0,310726.29,1,0.0,310726.29,1,25429,6337254252.83,249213.66364505092,False,False,False,False,True,1
10000000.0,0.0,0.0,0.0,10000000.0,1,1.862645149230957e-09,10000000.0,1,28,147237648.39,5258487.4425,False,False,False,False,True,1
658637.38,0.0,0.0,0.0,658637.38,1,0.0,658637.38,1,320,37511725.73,117224.14290625,False,False,False,False,True,1
6721321.33,0.0,0.0,0.0,6721321.33,1,0.0,6721321.33,1,26927,5172213957.19,192082.8149140268,False,False,False,False,True,1
98736.52,0.0,0.0,0.0,98736.52,1,0.0,0.0,0,29552,5701716349.72,192938.42547780185,False,True,False,False,False,1
2344540.14,0.0,0.0,0.0,2344540.14,1,0.0,0.0,0,18183,2963739223.12,162995.06259253147,False,True,False,False,False,1
245155.25,0.0,3.0,103807.63,141347.62,0,0.0,0.010000000009313226,0,30910,5608205263.28,181436.59861792298,False,True,False,False,False,1
1101871.13,0.0,0.0,0.0,1101871.13,1,0.0,1101871.13,1,28,147237648.39,5258487.4425,False,False,False,False,True,1
193706.98,0.0,0.0,0.0,193706.98,1,0.0,193706.98,1,10,7935358.76,793535.8759999999,False,False,False,False,True,1
5658123.36,0.0,9.0,196424.78846153847,5461698.571538462,0,0.0,9.313225746154785e-10,0,18,34064057.06,1892447.6144444447,False,True,False,False,False,1
117683.42,0.0,0.0,0.0,117683.42,1,0.0,117683.42,1,22797,3912610392.82,171628.30165460368,False,False,False,False,True,1
1159831.33,0.0,5.0,218091.67428571425,941739.6557142858,0,0.0,0.0,0,10,25595859.9,2559585.9899999998,False,True,False,False,False,1
811459.21,0.0,6.0,193150.02166666664,618309.1883333334,0,0.0,0.0,0,25429,6337254252.83,249213.66364505092,False,True,False,False,False,1
565346.12,0.0,0.0,0.0,565346.12,1,0.0,565346.12,1,11829,1657430074.48,140115.8233561586,False,False,False,False,True,1
312955.14,0.0,3.0,109975.19333333331,202979.9466666667,0,0.0,0.0,0,7937,970894107.08,122325.07333753307,False,True,False,False,False,1
2111475.81,0.0,0.0,0.0,2111475.81,1,0.0,2111475.81,1,27139,5047833554.76,185999.2466472604,False,False,False,False,True,1
128936.95,0.0,5.0,412684.326,-283747.376,0,0.0,0.0,0,14670,3775109118.91,257335.31826244036,False,True,False,False,False,1
143592.89,0.0,0.0,0.0,143592.89,1,0.0,0.0,0,40218,6596385476.64,164015.75107265403,False,True,False,False,False,1
187761.76,1.0,1.0,360353.54000000004,-172591.78000000003,0,0.0,-139329.8999999999,0,37127,5531479167.98,148988.04557276375,False,True,False,False,False,1
127156.49,0.0,0.0,0.0,127156.49,1,0.0,127156.49,1,40218,6596385476.64,164015.75107265403,False,False,False,False,True,1
5096946.74,0.0,0.0,0.0,5096946.74,1,0.0,5096946.74,1,30910,5608205263.28,181436.59861792298,False,False,False,False,True,1
142715.07,0.0,8.0,197922.275,-55207.20499999999,0,0.0,0.0,0,29467,7929207505.03,269087.7084545424,False,True,False,False,False,1
4309298.47,0.0,0.0,0.0,4309298.47,1,0.0,4309298.47,1,26656,5024591202.61,188497.5691255252,False,False,False,False,True,1
89596.79,0.0,0.0,0.0,89596.79,1,0.0,0.0,0,14490,3283341857.45,226593.6409558316,False,True,False,False,False,1
3070709.95,0.0,1.0,48852.955000000075,3021856.995,0,0.0,0.0,0,37693,4803245990.13,127430.71631682276,False,True,False,False,False,1
143501.7,0.0,4.0,184144.52125,-40642.82124999998,0,0.0,0.0,0,28,147237648.39,5258487.4425,False,True,False,False,False,1
1232239.39,0.0,0.0,0.0,1232239.39,1,0.0,1232239.39,1,40218,6596385476.64,164015.75107265403,False,False,False,False,True,1
126061.45,0.0,0.0,0.0,126061.45,1,0.0,126061.45,1,36726,4862065083.49,132387.54788133746,False,False,False,False,True,1
1397689.48,0.0,1.0,2788.8700000001118,1394900.6099999999,0,0.0,0.0,0,504,120469553.48,239026.89182539683,False,True,False,False,False,1
1309940.05,0.0,0.0,0.0,1309940.05,1,0.0,1309940.05,1,12,13642966.84,1136913.9033333333,False,False,False,False,True,1
357226.8,1.0,4.0,249036.10249999998,108190.69750000001,0,0.0,0.0,0,33528,4693535568.26,139988.53400918635,False,True,False,False,False,1
4257337.62,0.0,0.0,0.0,4257337.62,1,0.0,0.0,0,40218,6596385476.64,164015.75107265403,False,True,False,False,False,1
34162.97,0.0,0.0,0.0,34162.97,1,0.0,0.0,0,6,7708375.62,1284729.27,False,True,False,False,False,1
31315.51,0.0,5.0,383223.79454545456,-351908.28454545455,0,0.0,-0.01000000024214387,0,14,18737996.099999998,1338428.2928571426,False,True,False,False,False,1
22402.21,1.0,10.0,115942.031,-93539.821,0,0.0,0.010000000009313226,0,14,2872763.5,205197.39285714287,False,True,False,False,False,1
8994286.69,0.0,1.0,158453.48636363633,8835833.203636363,0,0.0,0.0,0,14670,3775109118.91,257335.31826244036,False,True,False,False,False,1
167907.12,1.0,1.0,108640.99333333333,59266.12666666666,0,0.0,0.0,0,7818,1055020916.85,134947.6741941673,False,True,False,False,False,1
638693.49,0.0,1.0,1462.3000000000466,637231.19,0,0.0,0.0,0,12,17235988.42,1436332.3683333334,False,True,False,False,False,1
264286.19,0.0,0.0,0.0,264286.19,1,0.0,264286.19,1,45155,6746761157.95,149413.37964677223,False,False,False,False,True,1
